Time_hr,Q_true,WHP_true,FLP_true,BHP_true,Q_target,Q_achievable,OilRate_bbl_hr,WHP_psi,FLP_psi,BHP_psi,Q_seen,WHP_seen,FLP_seen,BHP_seen,Choke_pct,Choke_cmd,dChoke,u_tracking_error,mode,active_constraints,u_ss,n_feasible,n_candidates,bad_tags,WHT_F,AP_psi,Pr_psi,water_cut
1.0,114.69171675795751,258.7124440176476,179.7802359552535,3074.394124737852,120.0,120.04240244947064,115.00708648066801,259.1161058293523,179.13064683051866,3076.9367842100824,113.21591635012706,258.53546385789986,180.21427226056016,3074.3015423414317,42.0,42.0,2.0,0.0,TRACKING,,42.900000000000006,451,451,,145.43096998815926,269.0083949585574,3568.8,0.0
2.0,115.51702274921786,258.29953192766004,179.42902373269214,3072.6627511873103,120.0,119.97881797130103,115.15963356069686,259.3465744206114,179.75693375638667,3071.3152776108577,115.00708648066801,259.1161058293523,179.13064683051866,3076.9367842100824,43.0,43.0,1.0,0.0,TRACKING,,42.800000000000004,451,451,,145.52449182672038,269.33572139352134,3568.8,0.0
3.0,116.21345807238883,257.92659783108763,179.1259078272945,3071.0547285906077,120.0,120.03626008613162,116.3343507465246,258.03408679042656,179.27419097653325,3074.5378798235856,115.15963356069686,259.3465744206114,179.75693375638667,3071.3152776108577,43.0,43.0,0.0,0.0,TRACKING,,42.85,451,451,,145.61345255139312,269.6470839298759,3568.8,0.0
4.0,116.80114574762256,257.5897710736283,178.8643017492515,3069.5612688628116,120.0,120.04292588600022,117.12085215735402,258.4200898439122,179.14970080062207,3069.1169161540884,116.3343507465246,258.03408679042656,179.27419097653325,3074.5378798235856,43.0,43.0,0.0,0.0,TRACKING,,42.85,451,451,,145.69807461032676,269.94326113614363,3568.8,0.0
5.0,117.29706660650298,257.28555575627513,178.63852098733716,3068.1742100222687,120.0,119.95933999190119,116.38242187598239,256.505285905877,178.73067535188184,3069.9016564817625,117.12085215735402,258.4200898439122,179.14970080062207,3069.1169161540884,43.0,43.0,0.0,0.0,TRACKING,,42.800000000000004,451,451,,145.77856960274624,270.22499360961183,3568.8,0.0
6.0,117.71554994150722,257.01079445164976,178.44365948858314,3066.8859715841504,120.0,119.95778277029832,118.58153329627092,256.7041436037333,178.4786577665503,3064.8535257091,116.38242187598239,256.505285905877,178.73067535188184,3069.9016564817625,43.0,43.0,0.0,0.0,TRACKING,,42.900000000000006,451,451,,145.85513880806064,270.4929858282122,3568.8,0.0
7.0,118.06868754106623,256.7626354333061,178.27548305328938,3065.6895131319657,120.0,119.95483031628603,117.81528752040515,255.62291100883542,178.60796215782915,3063.8829998227766,118.58153329627092,256.7041436037333,178.4786577665503,3064.8535257091,43.0,43.0,0.0,0.0,TRACKING,,42.85,451,451,,145.92797368916632,270.74790791208216,3568.8,0.0
8.0,118.36668307348337,256.53850307788133,178.13033732892123,3064.578295840627,120.0,119.95297508240178,118.32306591514988,256.7613695618437,178.2829271457884,3061.2927162107576,117.81528752040515,255.62291100883542,178.60796215782915,3063.8829998227766,43.0,43.0,0.0,0.0,TRACKING,,42.900000000000006,451,451,,145.99725637120406,270.99039729921424,3568.8,0.0
9.0,118.61814691491934,256.33607113289884,178.00506840366688,3063.5462467407897,120.0,119.99243689859186,119.52904756419275,256.71472815968764,178.230129155013,3061.897253018279,118.32306591514988,256.7613695618437,178.2829271457884,3061.2927162107576,43.0,43.0,0.0,0.0,TRACKING,,42.95,451,451,,146.06316009696667,271.22106033938337,3568.8,0.0
10.0,118.83034494029513,256.15323857277275,177.89695427421051,3062.5877255291625,120.0,119.9905635762467,117.86777961659031,255.3381595799113,177.80316589299073,3062.9894040609165,119.52904756419275,256.71472815968764,178.230129155013,3061.897253018279,43.0,43.0,0.0,0.0,TRACKING,,42.900000000000006,451,451,,146.1258496600963,271.44047381033704,3568.8,0.0
